Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
08/27/1965	20:25 GMT	08/27/1965	21:15 GMT	16 deg 02' N	60 deg 26' E	SS City of Pretoria (19462)	Mr. W. Donn, Junior Second Officer, and Mr. C. L. Knowles, Third Officer	Captain C. B. Parks Bradbury, Aden towards Bombay. 27th August 1965 in 16 deg 02'N, 60 deg 26'E, speed 14.8 knots. Since sunset a marked, though pale, phosphorescent glow had been visible in the bow wave of the vessel and the numerous "white horses" on the sea surface. At 2025 GMT the vessel entered an area of water, the whole surface of which was lit by phosphorescence. It gave the sea a "milky" appearance and the diffused light was uniform in intensity to the horizon (it appeared, although there was no means of checking it, that the visible horizon was much reduced). When the ship's Aldis lamp (36 watts) was switched on and directed at the sea surface, at varying distances, no visual change in illuminosity could be seen. A sample of the sea water taken in the insulated bucket showed no signs of organic matter; sharp agitation of the bucket produced no light whatsoever. The vessel cleared the area of milky water at 2115 GMT. Observed by Mr. W. Donn, Junior Second Officer and Mr. C. L. Knowles, Third Officer.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	146
08/29/1965	18:45 GMT	08/29/1965	(?)	11 deg 45' N	58 deg 40' E	SS Mangla (20187)	(?)	Aden to Calcutta. 29th August 1965 at 1845 GMT in 11 deg 45'N, 58 deg 40'W. Large patches of phosphoresecence observed on water during the evening. At one stage all the visible sea to the horizon around the ship was glowing creating a smokey effect and giving the impression of poor visibility. Moderate to rough sea, moderate swell. Wind SSW force 5.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	146
08/29/1965	21:00 GMT	08/29/1965	21:30 GMT	11 deg 10' N	61 deg 02' E	MV Benarmin (19657)	(?)	29th August 1965 in 11 deg 10'N, 61 deg 02'E. For half an hour between 2100 and 2130 GMT the whole sea from ship to horizon was glowing with a brownish-green luminescence. There was no moon at the time yet the line of the horizon was clearly seen. The luminescence was so bright that masts and superstructure were discernible from the glow. Although there was a 16 knot wind blowing, the white horses could not be distinguished in the uniform effect. This phenomenon seemed to be deep in the water and was unlike normal phosphorescence. After the luminescence cleared, normal white horse phosphorescence returned.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	146
09/03/1965	19:30 GMT	09/03/1965	22:00 GMT	9 deg 30' N	54 deg 25' E	SS Persic (19749)	(?)	Djibouti towards Fremantle. 3rd September 1965 between 1930 and 2200 GMT in 9 deg 30'N, 54 deg 25' E. Sea brilliantly illuminated by luminosity, horizon clearly defined, with glow extending to about 5 degrees above horizon. There was no phosphorescent effect, the sea appearing lifeless despite moderate sea running at the time. However, sea samples taken at hourly intervals were brilliantly phosphorescent when poured on to the deck, the bright particles remaining until the water reached the scupper. The whole effect did not grow and then diminish, but began and ended abruptly.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	149
07/16/1966	03:50 UNK	07/16/1966	05:15 UNK	6 deg 52' S	98 deg 04' W	MV Port Wyndham (20313)	Mr. C. Allport, Junior Third Officer	Lyttelton to Panama. 16th July 1966 in 6 deg 52'S, 98 deg 04'W, whilst steering a course of 59 deg at 13.5 knots. Two distinct patches of bioluminescence of the type usually called "white water" were observed. The first patch was encountered between 0350 and 0515 by Mr. C. Allport, Junior Third Officer, who reports the following: The vessel passed into a very extensive area of milky green water and the demarcation line between the normal coloured water and this milky water was very distinct, being visible on both sides of the ship. There was what appeared to be a phosphorescent mist above the surface of the sea and rapid flashed of bioluminescence were observed at a considerable distance from the ship. The Aldis lamp was flashed on the surface of the sea but had no apparent effect on the bioluminescence. The second patch was encountered from 0730 to 0830 by Mr. D. Parsons, Third Officer, and was as described above although the line of demarcation was not so distinct when the vessel passed out of the bioluminescence as when she entered it. A difference of opinion exists over the phosphorescent mist reported during the first observation and in the second observation may well have been the light being given off by the water made the sky and sea fuse together leaving virtually no horizon and thus giving the impression of reduced visibility. There was no appreciable difference in condition from those before the bioluminescence was encountered during either period and they were as follows: Wind ESE force 4, dry bulb 73 deg, wet bulb 70 deg, dew point 68 deg, sea temperature 73 deg, overcast and fine. A sample of sea water was collected during the first observation and an attempt to preserve this had been made by boiling it and adding methylated spirit, since no formalin is available.	Letter to Dr. Kay	600 Miles SW of Galapagos Islands	Milky Sea	0	N/A	150
08/04/1966	12:15 UNK	08/04/1966	14:30 UNK	12 deg 09' S	106 deg 15' E	SS Avedraehl	J. Visser, 3e Stm.; J. Heuvink 4e Stm.	Varende in de Indische Oceaan, op weg van Sydney naar Sumatra, werd het volgende verschijnsel waargenomen. Te 12.15 werd de zee in het Noordelijk en in het Ooseltijk kwadrant grijsachtig tot wit. De eerste indruk was; Mist. Te meer daar de bewolking zich hoofdzakelijk aan de horizon bevond. Hierna lostte het verschijnsel zich op, het zicht werd weer normaal, dit was te 12.40. Te 12.55 werd hetzelfde verschijnsel waargenomen in het Westelijk kwadrant. In de boeggolf werden paars fluorescerende punten waargenomen. Afgezien van de witte kleur was er geen bijzondere verkleuring van het water te bemerken. Vanaf 14.30 was het verschijnsel niet meer waar te nemen vanwege de opkomst van de maan. Het is niet uitgesloten dat het nog enige tijd aanwezig geweest is. T droge bol: 24.8. T natte bol: 22.0. dauwpunt: 21. Wind: Richting: 140; snelheid: 16. T water: 25.0. Barometer: 1014.0.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	151
08/06/1966	15:40 GMT	08/06/1966	17:10 GMT	12 deg 40' N	55 deg 23' E	MV Glennfalloch (20337)	(?)	6th August 1966 between 1540 and 1710 GMT in 12 deg 40'N, 55 deg 23'E. Wind 220 deg force 7-8, sea rough, heavy swell, air temperature 79 deg, sea temperature 76 deg, sunset at 1442 GMT. A mist showed as a luminous glow, first in patches and then covering the whole sea. It reached a height of approximately 3 feet above the sea surface. The mist and sea surface were several shades lighter in contrast to the sky, the sea being pale green in colour and the mist an even lighter green. No effect was observed when the Aldis was shone into the mist or on the sea surface. No temperature changes occurred before, during or after the phenomenon. Visibility was not affected for a ship could be seen through the mist at nine miles with the naked eye.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	152
08/08/1966	11:00 GMT	08/08/1966	15:55 GMT	16 deg 59' S	108 deg 03' E	MV Port Huon (an Australian Selected Ship)	(?)	8th August 1966 at 1100 GMT in 16 deg 59'S, 108 deg 03'E. As darkness fell the sea was observed to be a bright greenish colour and extremely luminous, all white horses and wake becoming invisible, giving the appearance of an absolutely flat calm sea rather resembling a vast expanse of snow covered land, extending to the horizon. The light being emitted from the sea was such that all stars became invisible, no planets or moon being in the sky at that time. At 1335 the vessel passed out of this patch into normal sea water, the outer limits of the patch being well defined. From 1350 to 1430 another area was encountered exactly as the previous one, with equally well defined limits. At 1555 yet another such area was encountered but due to moon rise at 1400 further observation was impossible. At the time of the observation the vessel was steaming on a true course of 104 deg and 20 knots, the wind remaining a constant SE force 3 throughout the period and the barometer reading 1017.7 and falling flowly, showed no appreciable change in tendency. The sea and air temperature also remained constant at 74 and 73 degrees respectively. The cloud cover at first was now becoming 5/8th at moon rise. No magnetic anomaly was observed and the echo sounder, running throughout the period, showed no echo. Several samples of the sea water were obtained but on being put through several tests by engine room officers were found to be no different to ordinary sea water, however, the samples were retained in the hope of more detailed analyses later.	Letter to Dr. Kay	SSW of Christmas Island	Milky Sea	0	N/A	153
08/10/1966	22:09 LOC	08/11/1966	23:10 LOC	14 deg 12' S	107 deg 05' E	SS Vitrea	E.L. de Ruiter, 4th Officer; J. P. Hendriks, 3rd Officer	Van de 4e stuurman van het ss. "Vitrea" (Shell Tankers N.V.), de heer E.L. de Ruiter, werd het navolgende rapport ontvangen m.b.t. een waarneming van het verschijnsel "melkzee" (de waarneming geschiedde door genoemde 4e stuurman en door de 3e stuurman, de heer J.P. Hendriks). Varende in de Indische Oceaan, ongeveer 240 zuid van Christmas Isl., in positie 14 deg 12' Z en 107 deg 05' O, op weg van Geelong naar Miri, werd aan boord van het ss. "Vitrea", onder gezagvoerder Th. J. v. d. Vrie, een witte melkzee waargenomen. De zee werd op de EW van 10 augustus 1966 te 20.09 scheepstijd (12.09 GMT) vrij snel geheel wit. Bij eerste oopgopslag leek het of in een sneeuwlandschap werd gevaren; ook werd eerst gedacht, dat het schip in een laaghangende mistbank was terecht gekomen. Nadat de ogen enigszins aan de toestand waren gewend, werd geconstateerd dat de zee rondom geheel wit was. Direct werden meteo-waarnemingen verricht, met onderstaand resultaat: Temperatuur drogebol: 24.8. Temperatuur nattebol: 24.0. Temperatuur zeewater: 25.3. Wind: zuidoost, kracht 3. Geen deining PPP: 1013.3. Bewolkt gedeelte: 3/8 Cm: 1 (zeer dunne Altostratus). Koers: 345 deg. Snelheid: 16 mijl per uur. Hoewel er windkract 3 was, ontstond na verloop van enige tijd een nagenoeg spiegelgladde zee. Ook het s.g. van het zeewater werd bepaald (1,026). Toen we het zoeklicht op het water lieten schijnen, lichtten talrijke deeltjes eerst zilverachtig en later roodachtig op. De bewolking nam snel af, totdat er geen bewolking meer was. Tot 22.00 bleef de zee egaal wit. Ne 22.00 kwamen er steeds meer donkere plekken. Te 22.55 was de zee weer geheel normal. Op de EW 11 augustus de zee te 21.00 weer geleide lijk wit te worden, achteruit beginnend. Wederom werden meteorwarnemingen verricht. De toestand bleef zo tot 23.10. De zee werd toen in een tijd van een halve minuut weer geheel normaal. Meteo-waarneming van 11 augustus 21.35: Temperatuur drogebol: 25.0. Temperatuur nattebol: 24.5. Temperatuur zeewater: 25.2. Wind: OZO, kracht 3. Geen deining: Geen bewolking PPP: 1009.8. Koers: 357 deg. Snelheid: 16 mijl per uur.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	151
08/12/1966	19:00 UNK	08/12/1966	20:00 UNK	11 deg 53' N	57 deg 55' E	MV Benarthy (20560)	(?)	12th August 1966 at 1900 in 11 deg 53' N, 57 deg 55' E. A glow, grey-blue in colour covers the sea all round the ship. It seems to be a fine salt spray perhaps with phosphorescent content. It looks as if it is what is called white water. The phenomenon lasted approximately 1 hour.	Letter to Dr. Kay	Somalia/Socotra	Milky Sea	0	N/A	152
08/13/1966	20:45 GMT	08/14/1966	00:45 GMT	10 deg 47' N	58 deg 25' E	MV Trebartha (20582)	(?)	13th August 1966 at 2045 GMT in 10 deg 47'N, 58 deg 24'E. The vessel was seen to be approaching an area of water appearing whitish in colour and shortly afterwards entered the area. It appeared as if the sea were being lit from below by powerful lights. The brilliance of this colour soon caused the eyes to ache if constantly focussed on the sea and a very sharp horizon could be observed between the sea and the sky. The bow wave of the ship and the crests of the breaking waves were lost entirely and this gave the effect of the sea being calm. The sea temperature was found to have risen by 8 deg since the previous observation. The effect lasted for approximately 2 1/2 hours and then slowly faded to normal over a futher 1 1/2 hour period.	Letter to Dr. Kay 	Somalia/Socotra	Milky Sea	0	N/A	152
08/13/1966	12:40 GMT	08/13/1966	15:35 GMT	9 deg 00' S	106 deg 45' E	SS Avedraehl	J. Visser, 3e Stm.; J. Heuvink 4e Stm.	Varende in de Indische Oceaan, van Sumatra naar Sydney, werd het volgende verschijnsel waargenomen. Te ongeveer 12.25 werd recht vooruit een wit schijnsel waargenomen, zo nagenoeg van hetzelfde karakter als bij ochtendschemering. Te 12.40 werd een milkachtige streep zichtbaar aan de horizon. Na verloop van tijd was het zichtbaar over de gehele horizon. In de boeggolf waren paars fluorescerende punter zichtbaar. Met behulp van seinlamp werd het wateroppervlak beschenen, de kleur in het licht was licht groen. Er was geen merkbare verandering in de zeegang waar te nemen. De paarse punten waren elk op zich zeer korte tij d zichtbaar, en gaven de indruk zich zeer snel door het water te bewegen. Te 15.20 begon het verschijnsel geleidelijk af te nemen, te 15.35 was het niet meer zichtbaar. Begin: T droge bol: 25.0. T natte bol: 23.5. T water: 25.0. Wind: richting: 140; snelheid: 17. Eind: T droge bol: 25.1. T natte bol: 22.2. T water: 25.0. Wind: richting: 140; snelheid: 17.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	154
